site,sub.site,planting.date,sample.date,sample.season,sample.point,transect,start.meter,diversity.treatment,no.sites,identity,quadrat,present,shoot.id,shoot.density,field.notes,extraction.date,plate.id,well.id,leaf.area.sampled,mass.mg,Cq.mean,Cq.std.dev,copy.no,copy.no.per.extraction,copy.no.per.cell,cells.per.uL,cells.per.extraction,cell.per.mg,cells.present,cells.absent,qPCR.trial.ID,qPCR.run,qPCR.notes,leaf.length,leaf.area,lesion.area,lesion.pc,no.lesions,lesions.present,lesions.absent,visual.scoring.notes
middleground,ILFW,spring.2017,10.22.18,fall,18,south,7,mono,1,aquavitae,5,1,D,77,,11.6.18,MGD_P1,2A,M,3.45,38,0.174,4.704401484,470.4401484,1392.846775,0.003377544,0.337754416,0.1,1,0,T1,1,,50.27,18.19,0.39,2.144035184,3,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,35,mono,1,lynn,6,1,B,45,,11.14.18,MGD_P2,6H,M,3.08,35.77,0.252,15.14820959,1514.820959,1587.599362,0.009541582,0.954158206,0.31,1,0,T5,1,,36.904,14.306,0.146,1.020550818,2,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,28,poly,5,poly5,6,1,A,53,,11.6.18,MGD_P1,6F,M,3.05,34.7,0.252,36.02799114,3602.799114,1839.610348,0.019584577,1.958457735,0.64,1,0,T2,1,,46.568,17.816,0.869,4.877638078,1,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,7,mono,1,nilesbeach,1,1,B,95,,11.14.18,MGD_P2,2H,M,2.67,35.39,0.342,25.13283459,2513.283459,1458.645035,0.017230261,1.723026095,0.65,1,0,T4&T6,1,Cq diff>1; rerun,44.942,20.116,0.198,0.984291112,5,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,south,0,poly,3,poly3,3,1,B,38,,11.14.18,MGD_P2,3E,M,2.97,34.9,0.677,30.87056251,3087.056251,1356.62826,0.022755359,2.275535858,0.77,1,0,T4,1,,53.629,16.678,0.156,0.935363953,3,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,north,28,mono,1,nahant,5,1,C,37,,11.6.18,MGD_P1,5F,M,3.48,34.2,0.192,50.64368378,5064.368378,1839.610348,0.027529571,2.752957105,0.79,1,0,T2,1,,50.43,17.305,0.092,0.531638255,1,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,7,mono,1,nilesbeach,3,1,C,77,,11.6.18,MGD_P1,8C,M,3.1,33.49,0.251,69.93538494,6993.538494,1587.599362,0.044051029,4.405102862,1.42,1,0,T2&T5,1,Cq diff>1; rerun,41.197,14.277,0.72,5.043076277,4,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,7,mono,1,nilesbeach,1,1,D,95,,11.14.18,MGD_P2,3B,M,2.67,34.23,1.11,56.28300821,5628.300821,1458.645035,0.038585815,3.85858155,1.45,1,0,T4&T6,1,Cq diff>1; rerun,63.333,30.135,2.423,8.040484486,4,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,35,mono,1,lynn,3,1,D,40,,11.14.18,MGD_P2,1H,M,3.17,33.26,0.426,91.05923049,9105.923049,1356.62826,0.067121726,6.712172611,2.12,1,0,T4,1,,77.699,37.35,1.005,2.690763052,9,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,south,7,mono,1,aquavitae,5,1,C,77,,11.6.18,MGD_P1,1H,M,2.97,33.43,0.299,101.4895864,10148.95864,1392.846775,0.072864861,7.286486085,2.45,1,0,T1,1,,56.446,18.175,0.173,0.951856946,5,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,7,mono,1,nilesbeach,3,1,B,77,,11.6.18,MGD_P1,8B,M,3.33,32.49,0.071,162.2903933,16229.03933,1839.610348,0.088219983,8.821998283,2.65,1,0,T2,1,,18.605,5.298,0.305,5.756889392,1,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,0,mono,1,nilesbeach,5,1,E,34,,11.6.18,MGD_P1,7H,M,3.13,32.31,0.009,183.4558224,18345.58224,1839.610348,0.09972537,9.972536986,3.19,1,0,T2,1,,44.04,17.069,0.758,4.440799109,5,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,south,0,poly,3,poly3,5,1,B,54,,11.6.18,MGD_P1,8G,M,3.77,32,0.344,226.5793617,22657.93617,1839.610348,0.12316704,12.31670402,3.27,1,0,T2,1,,53.785,18.029,0.715,3.965832825,7,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,south,14,poly,5,poly5,5,1,C,14,,11.14.18,MGD_P2,6D,M,3.09,32.37,0.211,205.0227206,20502.27206,1458.645035,0.140556966,14.0556966,4.55,1,0,T5&T6,1,Cq diff>1; rerun,33.621,12.898,0.016,0.12405024,1,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,28,poly,5,poly5,5,1,E,7,,11.6.18,MGD_P1,6E,M,3.31,31.68,0.103,281.7519324,28175.19324,1839.610348,0.153158484,15.31584842,4.63,1,0,T2,1,,33.353,11.041,0.785,7.109863237,2,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,north,14,mono,1,nahant,6,1,A,44,,11.6.18,MGD_P1,4B,M,3.66,32.14,0.046,241.5204349,24152.04349,1392.846775,0.173400577,17.34005774,4.74,1,0,T1,1,,68.54,27.169,7.938,29.21712246,3,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,north,21,mono,1,westbeach,3,1,D,59,,11.14.18,MGD_P2,7G,M,3.59,31.27,0.111,310.1345256,31013.45256,1587.599362,0.195348104,19.53481042,5.44,1,0,T5,1,,53.167,17.159,1.411,8.223089924,2,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,28,poly,5,poly5,6,1,C,53,,11.14.18,MGD_P2,1B,M,3.72,31.44,0.642,302.4576448,30245.76448,1356.62826,0.222948065,22.29480645,5.99,1,0,T4,1,,37.847,15.997,7.487,46.80252547,2,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,south,14,poly,5,poly5,1,1,C,50,,11.14.18,MGD_P2,5E,M,2.73,31.83,0.465,233.8561122,23385.61122,1356.62826,0.172380393,17.23803927,6.31,1,0,T4,1,,44.266,15.89,2.468,15.53178099,4,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,north,35,poly,3,poly3,5,1,D,57,,11.14.18,MGD_P2,5A,M,2.82,31.7,0.014,254.79291,25479.291,1356.62826,0.187813359,18.78133587,6.66,1,0,T4,1,,45.457,16.81,1.405,8.358120167,2,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,0,mono,1,nilesbeach,3,1,D,12,,11.14.18,MGD_P2,2E,M,2.41,31.88,0.119,226.2695857,22626.95857,1356.62826,0.1667882,16.67882001,6.92,1,0,T4,1,,25.848,9.371,0,0,0,0,1,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,35,mono,1,lynn,6,1,D,45,,11.14.18,MGD_P2,7B,M,3.28,30.89,0.463,400.195985,40019.5985,1587.599362,0.252076182,25.20761816,7.69,1,0,T5,1,,40.198,14.621,0.193,1.320019151,2,1,0,
middleground,ILFW,spring.2017,10.22.18,fall,18,mid,35,mono,1,lynn,3,1,B,40,,11.14.18,MGD_P2,1F,M,3.22,31.27,0.033,338.3461309,33834.61309,1356.62826,0.249402243,24.9402243,7.75,1,0,T4,1,,58.8,25.418,4.184,16.46077583,5,1,0,broken tip
middleground,ILFW,spring.2017,10.22.18,fall,18,south,0,poly,3,poly3,3,1,C,38,,11.14.18,MGD_P2,3F,NA,3.33,30.98,0.346,409.6679304,40966.79304,1356.62826,0.301975082,30.19750823,9.07,1,0,T4,1,,64.704,29.094,3.5,12.02997182,12,1,0,
