Site,Planting date,Sample date,Transect,Start meter,Diversity Treatment,Number of sites,Identity,Quadrat,Present?,Number of discs,Shoot density,Percent cover,Canopy ht,Reproductive shoots,Shoots per disc
Middle Ground,Fall,10/12/17,Yellow (N),0,Mono,1,Niles,1,Yes,4,27,15,40,0,6.75
Middle Ground,Fall,10/12/17,Yellow (N),0,Mono,1,Niles,2,Yes,3,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Yellow (N),0,Mono,1,Niles,3,Yes,4,37,30,60,0,9.25
Middle Ground,Fall,10/12/17,Yellow (N),0,Mono,1,Niles,4,Yes,4,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Yellow (N),0,Mono,1,Niles,5,Yes,4,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Yellow (N),0,Mono,1,Niles,6,Yes,4,25,25,43,0,6.25
Middle Ground,Fall,10/12/17,Yellow (N),7,Poly ,3,Poly 3,1,Yes,3,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Yellow (N),7,Poly ,3,Poly 3,2,Yes,3,28,25,44,0,9.333333333
Middle Ground,Fall,10/12/17,Yellow (N),7,Poly ,3,Poly 3,3,Yes,3,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Yellow (N),7,Poly ,3,Poly 3,4,Yes,5,38,20,40,0,7.6
Middle Ground,Fall,10/12/17,Yellow (N),7,Poly ,3,Poly 3,5,Yes,5,47,30,50,0,9.4
Middle Ground,Fall,10/12/17,Yellow (N),7,Poly ,3,Poly 3,6,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Yellow (N),14,Poly ,5,Poly 5,1,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Yellow (N),14,Poly ,5,Poly 5,2,Yes,3,27,10,70,0,9
Middle Ground,Fall,10/12/17,Yellow (N),14,Poly ,5,Poly 5,3,Yes,5,57,40,70,0,11.4
Middle Ground,Fall,10/12/17,Yellow (N),14,Poly ,5,Poly 5,4,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Yellow (N),14,Poly ,5,Poly 5,5,Yes,3,48,45,62,0,16
Middle Ground,Fall,10/12/17,Yellow (N),14,Poly ,5,Poly 5,6,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Yellow (N),21,Poly ,3,Poly 3,1,Yes,4,39,20,70,0,9.75
Middle Ground,Fall,10/12/17,Yellow (N),21,Poly ,3,Poly 3,2,Yes,3,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Yellow (N),21,Poly ,3,Poly 3,3,Yes,5,42,30,70,0,8.4
Middle Ground,Fall,10/12/17,Yellow (N),21,Poly ,3,Poly 3,4,Yes,5,48,45,62,0,9.6
Middle Ground,Fall,10/12/17,Yellow (N),21,Poly ,3,Poly 3,5,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Yellow (N),21,Poly ,3,Poly 3,6,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Yellow (N),28,Mono,1,Niles,1,Yes,5,38,30,50,0,7.6
Middle Ground,Fall,10/12/17,Yellow (N),28,Mono,1,Niles,2,Yes,3,26,15,50,0,8.666666667
Middle Ground,Fall,10/12/17,Yellow (N),28,Mono,1,Niles,3,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Yellow (N),28,Mono,1,Niles,4,Yes,4,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Yellow (N),28,Mono,1,Niles,5,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Yellow (N),28,Mono,1,Niles,6,Yes,5,49,50,46,0,9.8
Middle Ground,Fall,10/12/17,Yellow (N),35,Poly ,5,Poly 5,1,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Yellow (N),35,Poly ,5,Poly 5,2,Yes,5,NA,NA,NA,NA,NA
Middle Ground,Fall,10/12/17,Yellow (N),35,Poly ,5,Poly 5,3,Yes,5,49,40,62,0,9.8
Middle Ground,Fall,10/12/17,Yellow (N),35,Poly ,5,Poly 5,4,Yes,4,37,20,70,0,9.25
