population,month,site,size,num.genotypes,eff.genotypes,div,diu,eve,shc,shu,g.minus1,num.alleles,eff.num.alleles,Ho,Hs,Ht,H.t,Gis
aquavitae_fall,September,Aquavitae,46,24,10.907,0.929,0.908,0.454,1.461,1.228,0.511111111,4.583,2.728,0.516,0.5,0.5,NA,-0.033
aquavitae_spring,May,Aquavitae,49,21,9.566,0.914,0.895,0.456,1.325,1.147,0.416666667,4.417,2.241,0.444,0.42,0.42,NA,-0.057
lynn_fall,September,Lynn,50,30,20.161,0.97,0.95,0.672,1.64,1.394,0.591836735,6.333,3.433,0.56,0.553,0.553,NA,-0.013
lynn_spring,May,Lynn,47,39,33.985,0.992,0.971,0.871,2.096,1.565,0.826086957,6.583,3.674,0.559,0.547,0.547,NA,-0.021
nahant_fall,September,Nahant,49,24,14.552,0.951,0.931,0.606,1.451,1.273,0.479166667,4.083,2.364,0.522,0.519,0.519,NA,-0.005
nahant_spring,May,Nahant,50,23,14.045,0.948,0.929,0.611,1.419,1.252,0.448979592,4.417,2.387,0.547,0.506,0.506,NA,-0.08
nilesbeach_fall,September,Nilesbeach,50,26,14.706,0.951,0.932,0.566,1.483,1.286,0.510204082,5.083,2.952,0.512,0.515,0.515,NA,0.007
nilesbeach_spring,May,Nilesbeach,49,22,11.272,0.93,0.911,0.512,1.383,1.208,0.4375,4.583,2.435,0.502,0.47,0.47,NA,-0.068
westbeach_fall,September,Westbeach,50,24,10.87,0.927,0.908,0.453,1.417,1.208,0.469387755,5.417,2.752,0.443,0.471,0.471,NA,0.059
westbeach_spring,May,Westbeach,50,20,12.887,0.941,0.922,0.644,1.309,1.191,0.387755102,4.75,2.44,0.465,0.437,0.437,NA,-0.065
