day.collected,month.collected,day.processed,month.processed,year,outplant.treatment,outplant.transect,researcher.initials,site,shoot.id,shoot.length,sheath.length,no.leaves,leaf.no,leaf.length,lesion.pc,lesion.present,grazing.scar.pc,broken.tip,below.sheath,lv.egg.case,botrylloides.pc,spirochete.worm,tissue.sample,notes
8,may,9,may,2018,NA,north,TH,aquavitae,1,23.5,6,6,1,8,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,1,23.5,6,6,2,17.5,0,0,2,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,1,23.5,6,6,3,15.5,1,1,3,0,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,1,23.5,6,6,4,15.5,8,1,10,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,1,23.5,6,6,5,13,5,1,10,0,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,1,23.5,6,6,6,7,5,1,5,1,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,2,22.5,6,5,1,6.5,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,2,22.5,6,5,2,14,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,2,22.5,6,5,3,16.5,5,1,5,1,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,2,22.5,6,5,4,9.5,5,1,15,1,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,2,22.5,6,5,5,13,8,1,3,1,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,3,22,6.5,7,1,1,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,3,22,6.5,7,2,7.5,0,0,2,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,3,22,6.5,7,3,12.5,0,0,2,0,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,3,22,6.5,7,4,15.5,0,0,3,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,3,22,6.5,7,5,14,1,1,3,0,0,2,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,3,22,6.5,7,6,4.5,2,1,5,1,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,3,22,6.5,7,7,6.5,5,1,5,1,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,4,22.5,7,7,1,0.5,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,4,22.5,7,7,2,5.5,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,4,22.5,7,7,3,15.5,0,0,0,0,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,4,22.5,7,7,4,11.5,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,4,22.5,7,7,5,14.5,3,1,2,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,4,22.5,7,7,6,13.5,2,1,1,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,4,22.5,7,7,7,10.5,5,1,8,0,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,5,19,4.5,5,1,2.5,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,5,19,4.5,5,2,8.5,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,5,19,4.5,5,3,14.5,1,1,3,0,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,5,19,4.5,5,4,4.5,10,1,5,1,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,5,19,4.5,5,5,5,25,1,5,1,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,6,27,6.5,5,1,4,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,6,27,6.5,5,2,10.5,0,0,5,0,0,1,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,6,27,6.5,5,3,16,1,1,5,1,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,6,27,6.5,5,4,9.5,2,1,5,1,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,6,27,6.5,5,5,20.5,40,1,15,1,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,7,21.5,5.5,5,1,3.5,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,7,21.5,5.5,5,2,12.5,0,0,1,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,7,21.5,5.5,5,3,16,0,0,20,0,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,7,21.5,5.5,5,4,5.5,3,1,2,1,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,7,21.5,5.5,5,5,6.5,8,1,5,1,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,8,28.5,10,6,1,5.5,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,8,28.5,10,6,2,16,0,0,15,1,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,8,28.5,10,6,3,18.5,3,1,50,0,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,8,28.5,10,6,4,16.5,1,1,1,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,8,28.5,10,6,5,10,8,1,5,1,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,8,28.5,10,6,6,8.5,65,1,5,1,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,9,17.5,4,5,1,5.5,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,9,17.5,4,5,2,11.5,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,9,17.5,4,5,3,13.5,0,0,0,0,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,9,17.5,4,5,4,8.5,2,1,2,1,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,9,17.5,4,5,5,4.5,8,1,45,1,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,10,18.5,4.5,5,1,5,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,10,18.5,4.5,5,2,12,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,10,18.5,4.5,5,3,14,0,0,5,0,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,10,18.5,4.5,5,4,13,3,1,1,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,10,18.5,4.5,5,5,10,5,1,3,0,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,11,20.5,5.5,5,1,1.5,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,11,20.5,5.5,5,2,12,3,1,2,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,11,20.5,5.5,5,3,15,2,1,15,1,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,11,20.5,5.5,5,4,15,2,1,10,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,11,20.5,5.5,5,5,2.5,50,1,65,1,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,12,17,5,4,1,2.5,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,12,17,5,4,2,9.5,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,12,17,5,4,3,10.5,50,1,5,0,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,12,17,5,4,4,12,10,1,10,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,13,20,4.5,6,1,2,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,13,20,4.5,6,2,9.5,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,13,20,4.5,6,3,15,0,0,5,0,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,13,20,4.5,6,4,15.5,5,1,10,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,13,20,4.5,6,5,10,10,1,50,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,13,20,4.5,6,6,12,5,1,3,0,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,14,22.5,6,5,1,6.5,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,14,22.5,6,5,2,13,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,14,22.5,6,5,3,16.5,0,0,0,0,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,14,22.5,6,5,4,16,2,1,10,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,14,22.5,6,5,5,14.5,5,1,3,0,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,15,19.5,5,5,1,4.5,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,15,19.5,5,5,2,12.5,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,15,19.5,5,5,3,14.5,0,0,0,0,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,15,19.5,5,5,4,11.5,2,1,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,15,19.5,5,5,5,4,2,1,0,1,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,16,21,5,5,1,4,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,16,21,5,5,2,11,0,0,10,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,16,21,5,5,3,16,5,1,10,0,0,8,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,16,21,5,5,4,5,3,1,5,1,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,16,21,5,5,5,6.5,20,1,5,1,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,17,24,5.5,6,1,1,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,17,24,5.5,6,2,10,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,17,24,5.5,6,3,17,2,1,5,0,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,17,24,5.5,6,4,18.5,2,1,5,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,17,24,5.5,6,5,13,10,1,15,1,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,17,24,5.5,6,6,9.5,8,1,20,1,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,18,25.5,8,5,1,9.5,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,18,25.5,8,5,2,17,2,1,10,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,18,25.5,8,5,3,17.5,1,1,5,1,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,18,25.5,8,5,4,17,15,1,45,1,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,18,25.5,8,5,5,11.5,20,1,10,1,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,19,21.5,6.5,6,1,2,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,19,21.5,6.5,6,2,8.5,0,0,0,0,0,2,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,19,21.5,6.5,6,3,13.5,0,0,0,0,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,19,21.5,6.5,6,4,15,1,1,5,0,0,1,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,19,21.5,6.5,6,5,13,5,1,5,0,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,19,21.5,6.5,6,6,7,10,1,5,1,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,20,23.5,6.5,6,1,2,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,20,23.5,6.5,6,2,11,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,20,23.5,6.5,6,3,17,0,0,0,0,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,20,23.5,6.5,6,4,16.5,15,1,10,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,20,23.5,6.5,6,5,13,3,1,3,1,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,20,23.5,6.5,6,6,3,15,1,5,1,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,21,21.5,5.5,5,1,5.5,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,21,21.5,5.5,5,2,11.5,0,0,0,0,0,1,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,21,21.5,5.5,5,3,16,1,1,3,0,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,21,21.5,5.5,5,4,11,2,1,15,1,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,21,21.5,5.5,5,5,12,3,1,5,1,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,22,26.5,7,6,1,2,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,22,26.5,7,6,2,10.5,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,22,26.5,7,6,3,19.5,0,0,5,0,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,22,26.5,7,6,4,9,0,0,0,1,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,22,26.5,7,6,5,8.5,0,0,5,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,22,26.5,7,6,6,13.5,8,1,5,0,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,23,21,5.5,6,1,1.5,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,23,21,5.5,6,2,9,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,23,21,5.5,6,3,15.5,0,0,0,0,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,23,21,5.5,6,4,15.5,0,0,2,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,23,21,5.5,6,5,11,0,0,2,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,23,21,5.5,6,6,7.5,3,1,3,0,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,24,20,6.5,5,1,10,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,24,20,6.5,5,2,13.5,0,0,10,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,24,20,6.5,5,3,12.5,5,1,10,0,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,24,20,6.5,5,4,4,5,1,20,0,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,24,20,6.5,5,5,4,3,1,3,0,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,25,23,6,6,1,1,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,25,23,6,6,2,9.5,0,0,0,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,25,23,6,6,3,17,3,1,8,0,0,0,0,NA,1,
8,may,9,may,2018,NA,north,TH,aquavitae,25,23,6,6,4,17,0,0,3,0,0,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,25,23,6,6,5,16,10,1,15,0,1,0,0,NA,0,
8,may,9,may,2018,NA,north,TH,aquavitae,25,23,6,6,6,12,45,1,20,0,1,0,0,NA,0,
14,may,15,may,2018,NA,mid,FS,aquavitae,26,32.5,9,5,1,7.5,0,0,0,0,0,0,0,NA,0,
14,may,15,may,2018,NA,mid,FS,aquavitae,26,32.5,9,5,2,18,0,0,0,0,0,0,0,NA,0,
14,may,15,may,2018,NA,mid,FS,aquavitae,26,32.5,9,5,3,23.5,0,0,2,0,0,0,0,NA,1,
14,may,15,may,2018,NA,mid,FS,aquavitae,26,32.5,9,5,4,22.5,0,0,2,0,0,0,0,NA,0,
14,may,15,may,2018,NA,mid,FS,aquavitae,26,32.5,9,5,5,18,2,1,5,0,1,0,0,NA,0,
14,may,15,may,2018,NA,mid,FS,aquavitae,27,36,10,6,1,7,0,0,0,0,0,0,0,NA,0,
14,may,15,may,2018,NA,mid,FS,aquavitae,27,36,10,6,2,19,0,0,0,0,0,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,27,36,10,6,3,26,0,0,20,0,0,1,0,NA,1
14,may,15,may,2018,NA,mid,FS,aquavitae,27,36,10,6,4,11.5,0,0,5,1,0,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,27,36,10,6,5,18.5,5,1,5,1,1,1,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,27,36,10,6,6,10,2,1,5,1,1,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,28,27,8,6,1,4,0,0,0,0,0,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,28,27,8,6,2,12.5,0,0,0,0,0,0,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,28,27,8,6,3,19,0,0,5,0,0,2,0,NA,1
14,may,15,may,2018,NA,mid,FS,aquavitae,28,27,8,6,4,19,0,0,5,0,0,2,0,NA,0
14,may,15,may,2018,NA,mid,FS,aquavitae,28,27,8,6,5,16,1,1,0,0,1,0,0,NA,0
